mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.3123674392700195,0.0205886088192682,0.030182313919067384,0.003647990703181337,,10,2,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",-0.15584617778712542,-0.16691432224057975,-0.1604628994013514,-0.162648967177897,-0.14960387785765186,-0.1590952488929211,0.005937674237576728,10,-0.11582924346964,-0.121051932871788,-0.12139822448415856,-0.11673966545372347,-0.12043797736549522,-0.11909140872896104,0.002330266918088082
1.0941174507141114,0.13533399478921035,0.02285761833190918,0.004828226705576302,,10,5,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",-0.15584617778712542,-0.16691432224057975,-0.1604628994013514,-0.162648967177897,-0.14960387785765186,-0.1590952488929211,0.005937674237576728,10,-0.11582924346964,-0.121051932871788,-0.12139822448415856,-0.11673966545372347,-0.12043797736549522,-0.11909140872896104,0.002330266918088082
0.43147873878479004,0.07676044989247499,0.026912355422973634,0.005098399997017507,12,1,5,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",-0.2761166937439296,-0.2721267652426837,-0.2779200250467613,-0.28152585889197845,-0.27332879790803893,-0.2762036281666784,0.0033515720506704463,13,-0.2515850142340588,-0.25323724485520904,-0.2519085316143693,-0.25190698920711146,-0.2555765659306485,-0.25284286916827947,0.001480519312466665
0.4753077030181885,0.059112122572410164,0.02647113800048828,0.007172162235705206,12,1,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",-0.2760680995356848,-0.2727852478581106,-0.2774140433129279,-0.281290707403945,-0.2742354622842395,-0.27635871207898155,0.002925768062504021,14,-0.24889508629255092,-0.2502995915737044,-0.24898664370682977,-0.24945194678735744,-0.25236273832180983,-0.24999920133645048,0.001282214638878415
0.4107334136962891,0.06239058769714839,0.034105682373046876,0.010178072959751214,12,1,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",-0.27861207226219575,-0.2713234195097365,-0.2775223785536494,-0.2802836318371789,-0.27418257426750775,-0.27638481528605363,0.003222517246910323,15,-0.256246089373179,-0.2562841875595387,-0.25494124952960434,-0.25529640684930854,-0.258604578174082,-0.25627450229714255,0.0012778410181296333
0.4230631351470947,0.04053439574064415,0.029462766647338868,0.005743470889402706,12,2,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",-0.2780678947857724,-0.2715281744811269,-0.2768367538701326,-0.2805161621075893,-0.27582775230497814,-0.2765553475099199,0.0029616517189583777,16,-0.2580032021087109,-0.2579320362523563,-0.2561665254535294,-0.2570303052128132,-0.2601204588382696,-0.2578505055731359,0.0013184209482426544
0.4561343193054199,0.02336249356907826,0.022904634475708008,0.005226052683418132,12,2,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",-0.2770193833850877,-0.27269988655977323,-0.276531609553663,-0.28158088635169776,-0.2752651517728676,-0.27661938352461785,0.0028976064106896833,17,-0.2538304260117373,-0.2545602206707622,-0.25265857869435654,-0.25372420926213884,-0.2567211876476562,-0.2542989244573302,0.001354707145147968
0.45612211227416993,0.042239422385928385,0.027706003189086913,0.0029180099652610487,12,2,5,"{'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",-0.2764498989689624,-0.27165161158799334,-0.2769602073946108,-0.28253447356477557,-0.2759685070366179,-0.276712939710592,0.003469634289818188,18,-0.2542861310615681,-0.255547206879102,-0.25318643153665465,-0.25433928976629827,-0.2574817515213876,-0.2549681621530021,0.0014620967946996988
0.4419887065887451,0.008464489830083013,0.027002811431884766,0.0029202722294319784,12,5,5,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",-0.27798770581048804,-0.27147300905163335,-0.28598484887474457,-0.28016071547541926,-0.273009691852149,-0.2777231942128868,0.005206694404264438,19,-0.2620523190790225,-0.2612376704887809,-0.26195032881118324,-0.2601054358286314,-0.263074902511966,-0.2616841313439168,0.00098308438771952
0.414902925491333,0.0295916449565644,0.03139553070068359,0.00849210734694354,12,5,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",-0.27798770581048804,-0.27147300905163335,-0.28598484887474457,-0.28016071547541926,-0.273009691852149,-0.2777231942128868,0.005206694404264438,19,-0.2620523190790225,-0.2612376704887809,-0.26195032881118324,-0.2601054358286314,-0.263074902511966,-0.2616841313439168,0.00098308438771952
0.4443802356719971,0.021760798080778573,0.02813558578491211,0.0010515567737057667,12,5,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",-0.27798770581048804,-0.27147300905163335,-0.28598484887474457,-0.28016071547541926,-0.273009691852149,-0.2777231942128868,0.005206694404264438,19,-0.2620523190790225,-0.2612376704887809,-0.26195032881118324,-0.2601054358286314,-0.263074902511966,-0.2616841313439168,0.00098308438771952
0.4244511604309082,0.013680639836169831,0.029886579513549803,0.005849041324404869,12,10,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",-0.2840060942075199,-0.27931290842733625,-0.2895548302761843,-0.27982970176316674,-0.27575904867066997,-0.28169251666897543,0.004722441604273239,22,-0.2704924513357229,-0.27109043955873463,-0.2690156330751055,-0.26946696099890255,-0.27323386041025455,-0.270659869075744,0.0014809046381331359
0.4128573894500732,0.039575995708421234,0.027195453643798828,0.0056696663648135425,12,10,5,"{'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",-0.2840060942075199,-0.27931290842733625,-0.2895548302761843,-0.27982970176316674,-0.27575904867066997,-0.28169251666897543,0.004722441604273239,22,-0.2704924513357229,-0.27109043955873463,-0.2690156330751055,-0.26946696099890255,-0.27323386041025455,-0.270659869075744,0.0014809046381331359
